ts,open,high,low,close,volume
1695146400,0.5126,0.5167,0.5126,0.513,3025269.801201
1695150000,0.5127,0.5158,0.5125,0.5156,1113523.566174
1695153600,0.5155,0.5157,0.512,0.5131,2468848.954584
1695157200,0.5131,0.5135,0.5112,0.512,859608.07612
1695160800,0.5121,0.5146,0.5118,0.5136,655301.124592
1695164400,0.5137,0.5145,0.5128,0.5141,1456246.936482
1695168000,0.5141,0.5144,0.5116,0.513,989591.000768
1695171600,0.5129,0.5155,0.5124,0.5153,1480402.622168
1695175200,0.5153,0.5208,0.5146,0.5162,4343711.042498
1695178800,0.5163,0.5256,0.5162,0.5239,6663250.943458
1695182400,0.5238,0.5239,0.5199,0.5204,5961042.866908
1695186000,0.5204,0.5211,0.5177,0.5181,2641379.361389
1695189600,0.5181,0.5199,0.5131,0.5145,3123416.448235
1695193200,0.5145,0.5173,0.5136,0.5142,2200320.20313
1695196800,0.5142,0.5163,0.5117,0.5163,2008609.078311
1695200400,0.5163,0.5169,0.5122,0.5146,2938596.193722
1695204000,0.5145,0.5149,0.5068,0.5131,4733144.426479
1695207600,0.513,0.5161,0.5117,0.5157,2349030.603674
1695211200,0.5158,0.5162,0.5113,0.5132,2116153.467969
1695214800,0.5131,0.5153,0.5102,0.5135,1867114.706422
1695218400,0.5138,0.5165,0.5128,0.5152,2785911.683958
1695222000,0.5152,0.5195,0.5141,0.5179,2778993.748744
1695225600,0.5181,0.5207,0.517,0.5177,3277422.53341
1695229200,0.5177,0.5211,0.5174,0.5194,2126162.593174
1695232800,0.5193,0.5224,0.5174,0.521,2599793.051153
1695236400,0.5209,0.5214,0.5116,0.5163,5280333.45728
1695240000,0.5162,0.5181,0.5138,0.5181,1764666.940529
1695243600,0.5181,0.5251,0.5173,0.5234,2396617.326274
1695247200,0.5233,0.5234,0.5204,0.5211,1753976.678761
1695250800,0.521,0.5225,0.5193,0.5213,1837925.99466
1695254400,0.5215,0.5215,0.5163,0.5163,1730769.706942
1695258000,0.5164,0.5171,0.5131,0.515,1658323.871966
1695261600,0.515,0.5171,0.5146,0.5154,870488.147136
1695265200,0.5155,0.5186,0.5155,0.5186,1193938.678578
1695268800,0.5186,0.5186,0.5153,0.5171,1158402.096289
1695272400,0.5172,0.5173,0.5143,0.5167,1074598.584314
1695276000,0.5166,0.5167,0.5109,0.5135,1841209.685125
1695279600,0.5137,0.5138,0.5085,0.5094,2931501.739301
1695283200,0.5095,0.5117,0.5074,0.5074,3845693.308475
1695286800,0.5074,0.5099,0.5054,0.5076,3777973.988278
1695290400,0.5075,0.5081,0.5008,0.5015,4959140.678384
1695294000,0.5016,0.5057,0.5012,0.5053,1984514.343478
1695297600,0.5053,0.5068,0.5045,0.5054,1956041.972482
1695301200,0.5054,0.5055,0.5,0.5035,2384785.936553
1695304800,0.5035,0.5056,0.5029,0.505,1986449.01628
