ts,open,high,low,close,volume
1757138400,2.8139,2.8214,2.8005,2.8064,2720521.316195
1757160000,2.8064,2.8179,2.7978,2.7999,5663803.10169
1757181600,2.7998,2.8131,2.7928,2.8099,5603621.695201
1757203200,2.8099,2.8266,2.8096,2.8247,4538074.877443
1757224800,2.8247,2.8374,2.8186,2.832,3381861.36958
1757246400,2.832,2.9272,2.8289,2.8594,22053226.371902
1757268000,2.8593,2.8927,2.8502,2.8769,12678758.900199
1757289600,2.877,2.8995,2.8626,2.8927,10730526.161756
1757311200,2.8927,2.9551,2.8741,2.9361,19385791.996764
1757332800,2.9361,2.9962,2.9337,2.9696,32354509.331014
1757354400,2.9697,2.985,2.9549,2.9692,17575347.748686
1757376000,2.9691,2.978,2.9341,2.9654,12799399.763938
1757397600,2.9653,3.0367,2.9626,3.0045,23406401.020591
1757419200,3.0043,3.0306,2.9365,2.9547,23179124.319929
1757440800,2.9546,2.9731,2.9397,2.947,10350137.245275
1757462400,2.9471,2.965,2.9347,2.9605,8444581.550556
1757484000,2.9604,2.9876,2.9458,2.9721,8401217.800932
1757505600,2.9721,3.0244,2.9711,3.0035,20442511.467855
1757527200,3.0033,3.0075,2.9674,2.9836,12519246.03186
1757548800,2.9835,3.015,2.9774,3.0077,8664044.675369
1757570400,3.0076,3.0348,2.9923,3.0089,10698966.426745
1757592000,3.009,3.0348,2.951,3.015,24628113.312834
1757613600,3.0149,3.0499,3.0079,3.0405,20850045.949795
1757635200,3.0405,3.0742,3.0293,3.0732,17408627.250566
1757656800,3.0731,3.0735,3.0378,3.0398,10593036.86011
1757678400,3.0398,3.0746,3.0176,3.0669,25735855.196686
1757700000,3.0669,3.1394,3.0612,3.1067,36805576.827101
1757721600,3.1071,3.126,3.0916,3.1027,9056295.750864
1757743200,3.1027,3.1879,3.102,3.1745,17843954.23003
1757764800,3.1744,3.1831,3.09,3.114,24060378.730322
1757786400,3.1139,3.1304,3.1028,3.121,9249164.339166
1757808000,3.1209,3.1278,3.0768,3.1091,14418023.836108
1757829600,3.1091,3.1104,3.0556,3.0602,6561427.395307
1757851200,3.0608,3.0679,3.0116,3.0557,15002693.346401
1757872800,3.0557,3.0583,3.026,3.029,13599235.20543
1757894400,3.029,3.0683,3.0133,3.0675,9484069.577573
1757916000,3.0674,3.0683,2.9528,3.0008,21231072.962744
1757937600,3.0008,3.0447,2.9852,3.01,19692751.161653
1757959200,3.0099,3.0172,2.9801,2.9975,14538438.208094
1757980800,2.9974,3.0087,2.9651,3.0054,8959052.523354
