ts,open,high,low,close,volume
1660176000,1.876,1.959,1.869,1.902,1646654.82
1660262400,1.902,1.926,1.859,1.923,746074.8
1660348800,1.925,1.945,1.89,1.912,546363.67
1660435200,1.911,1.959,1.8,1.821,1612708.89
1660521600,1.821,1.867,1.776,1.821,1333042.07
1660608000,1.822,1.91,1.781,1.886,1907627.1
1660694400,1.887,2.037,1.847,1.886,3022577.1
1660780800,1.886,1.89,1.78,1.788,1170274.92
1660867200,1.79,1.792,1.552,1.577,3308263.39
1660953600,1.577,1.639,1.523,1.559,974514.28
1661040000,1.562,1.648,1.552,1.633,1029281.67
1661126400,1.633,1.635,1.518,1.588,2359620.17
1661212800,1.587,1.607,1.537,1.592,680731.08
1661299200,1.593,1.644,1.556,1.6,1079334.57
1661385600,1.6,1.681,1.597,1.669,1453788.88
1661472000,1.668,1.673,1.462,1.484,2761004.13
1661558400,1.483,1.489,1.43,1.464,1604465.87
1661644800,1.463,1.495,1.421,1.426,1027042.45
1661731200,1.427,1.538,1.417,1.531,1383777.68
1661817600,1.531,1.55,1.449,1.497,1133865.79
1661904000,1.496,1.581,1.496,1.51,1285433.45
1661990400,1.509,1.541,1.474,1.539,920224.92
1662076800,1.539,1.566,1.467,1.491,1429996.58
1662163200,1.49,1.528,1.47,1.524,834216.43
1662249600,1.523,1.56,1.51,1.56,857167.58
1662336000,1.559,1.567,1.501,1.547,981212.4
1662422400,1.547,1.592,1.425,1.427,2198801.32
1662508800,1.428,1.504,1.401,1.489,1512969.07
1662595200,1.488,1.602,1.468,1.588,2139030.41
1662681600,1.588,1.666,1.583,1.644,2169770.91
1662768000,1.644,1.681,1.627,1.663,1231378.27
1662854400,1.663,1.758,1.647,1.683,1450182.39
1662940800,1.682,1.725,1.613,1.657,1849771.27
1663027200,1.657,1.69,1.519,1.529,2007738.43
1663113600,1.528,1.622,1.513,1.605,1269882.29
1663200000,1.603,1.615,1.508,1.522,1396457.4
1663286400,1.522,1.555,1.499,1.521,765085.93
1663372800,1.521,1.566,1.52,1.551,483366.25
1663459200,1.551,1.572,1.425,1.438,599432.95
1663545600,1.438,1.507,1.409,1.483,1019840.85
1663632000,1.485,1.524,1.453,1.463,964081.3
1663718400,1.464,1.525,1.384,1.411,1626494.81
1663804800,1.412,1.525,1.409,1.508,1016880.61
1663891200,1.51,1.553,1.427,1.517,1363143.9
1663977600,1.517,1.554,1.468,1.475,783649.73
1664064000,1.474,1.509,1.438,1.456,813855.26
1664150400,1.458,1.479,1.424,1.475,650124.16
1664236800,1.474,1.543,1.423,1.442,1507220.04
1664323200,1.443,1.457,1.391,1.441,1303749.09
1664409600,1.441,1.449,1.406,1.439,507334.86
1664496000,1.44,1.464,1.408,1.424,701195.83
1664582400,1.423,1.435,1.399,1.41,443396.25
1664668800,1.409,1.42,1.365,1.376,796504.54
1664755200,1.375,1.451,1.357,1.438,1120376.12
1664841600,1.438,1.469,1.426,1.459,1124794.32
1664928000,1.457,1.459,1.404,1.431,710273.83
1665014400,1.43,1.456,1.417,1.428,1224747.58
1665100800,1.427,1.436,1.391,1.409,882470.35
1665187200,1.407,1.426,1.402,1.407,352024.36
1665273600,1.407,1.43,1.403,1.429,252783.97
1665360000,1.429,1.444,1.365,1.371,626547.32
1665446400,1.371,1.371,1.329,1.343,1097528.71
1665532800,1.343,1.363,1.34,1.352,602622.99
1665619200,1.351,1.423,1.26,1.384,2148687.14
1665705600,1.384,1.436,1.353,1.367,1031002.83
1665792000,1.368,1.383,1.343,1.355,398383.16
1665878400,1.353,1.373,1.34,1.356,502489.3
