ts,open,high,low,close,volume
1565049600,1.4103,1.88,1.4063,1.4913,2817322.62
1565136000,1.4909,1.4996,1.33,1.3491,834874.73
1565222400,1.3497,1.9822,1.3293,1.5792,8459831.2
1565308800,1.5758,1.59,1.36,1.433,4328767.1
1565395200,1.4307,1.4499,1.35,1.391,1830013.45
1565481600,1.391,1.417,1.36,1.3786,969242.87
1565568000,1.3785,1.3917,1.3577,1.3651,683259.62
1565654400,1.3641,1.375,1.2382,1.253,1426624.72
1565740800,1.255,1.2939,1.1252,1.1465,1909193.09
1565827200,1.1488,1.29,0.98,1.2189,2318500.42
1565913600,1.212,1.28,1.1239,1.222,1531587.51
1566000000,1.2238,1.225,1.1672,1.1943,549063.93
1566086400,1.1944,1.245,1.174,1.2046,822808.92
1566172800,1.2042,1.243,1.185,1.2154,520600.07
1566259200,1.2168,1.2169,1.152,1.1605,543918.59
1566345600,1.161,1.1685,1.1,1.1217,629223.05
1566432000,1.1211,1.1534,1.0847,1.138,580639.27
1566518400,1.138,1.224,1.1265,1.1727,611850.84
1566604800,1.1727,1.1787,1.1141,1.1505,249739.12
1566691200,1.1462,1.1696,1.1107,1.1331,233266.12
1566777600,1.1331,1.1909,1.1323,1.164,331636.69
1566864000,1.1672,1.1835,1.1161,1.125,380945.77
1566950400,1.1231,1.1279,1.02,1.0517,621827.75
1567036800,1.0514,1.0619,0.99,0.9967,518186.8
1567123200,0.9987,1.0882,0.9941,1.064,350851.42
1567209600,1.064,1.0879,1.002,1.0394,371722.33
1567296000,1.0396,1.0576,1.012,1.034,268615.06
1567382400,1.0313,1.0859,1.028,1.0651,428379.52
1567468800,1.065,1.071,1.0214,1.0341,494081.6
1567555200,1.0338,1.0474,1.0061,1.039,314579.71
1567641600,1.039,1.07,1.0009,1.0127,316230.85
1567728000,1.0133,1.04,0.99,0.9965,504562.36
1567814400,0.9966,1.06,0.972,1.0222,375683.07
1567900800,1.0246,1.0834,1.0181,1.0694,380871.97
1567987200,1.0693,1.11,1.004,1.0495,405770.44
1568073600,1.0493,1.0611,1.003,1.0141,316063.21
1568160000,1.0116,1.03,0.9955,1.0079,204254.55
1568246400,1.0076,1.0275,0.9876,1.0257,250909.97
1568332800,1.0258,1.0258,0.9401,0.9808,394491.19
1568419200,0.9852,1.0193,0.943,1,364765.22
1568505600,1,1.0245,0.98,1.0051,280775.5
1568592000,1.0051,1.0091,0.9735,1.0009,235619.21
