ts,open,high,low,close,volume
1695218400,0.673,0.675,0.672,0.674,7987.02
1695222000,0.673,0.675,0.671,0.673,4137.71
1695225600,0.673,0.675,0.672,0.672,12472.2
1695229200,0.673,0.675,0.672,0.672,3780.02
1695232800,0.673,0.679,0.671,0.678,18383.66
1695236400,0.677,0.678,0.668,0.669,21874.75
1695240000,0.669,0.672,0.668,0.671,3960.8
1695243600,0.672,0.676,0.671,0.675,4791.5
1695247200,0.675,0.675,0.673,0.675,3456.16
1695250800,0.675,0.677,0.673,0.675,14664.14
1695254400,0.674,0.681,0.674,0.678,11535.42
1695258000,0.68,0.68,0.675,0.678,4755.63
1695261600,0.679,0.681,0.676,0.678,2125.98
1695265200,0.679,0.681,0.678,0.681,1819.16
1695268800,0.682,0.682,0.678,0.679,46848.82
1695272400,0.679,0.679,0.675,0.677,2842.92
1695276000,0.677,0.677,0.672,0.675,5002.69
1695279600,0.675,0.677,0.673,0.673,1983.26
1695283200,0.674,0.674,0.671,0.674,10020.98
1695286800,0.672,0.672,0.664,0.664,6439.07
1695290400,0.666,0.667,0.659,0.659,8345.08
1695294000,0.659,0.664,0.658,0.662,7917.23
1695297600,0.664,0.665,0.662,0.663,34028.14
1695301200,0.663,0.664,0.657,0.659,16621.72
1695304800,0.659,0.664,0.658,0.664,12813.84
1695308400,0.662,0.664,0.661,0.663,8830.15
1695312000,0.662,0.663,0.66,0.662,17879.71
1695315600,0.661,0.663,0.66,0.661,8227.51
1695319200,0.659,0.662,0.659,0.66,6597.66
1695322800,0.661,0.661,0.658,0.661,3924.45
1695326400,0.659,0.661,0.655,0.657,4202.96
1695330000,0.657,0.658,0.654,0.657,9413.2
1695333600,0.658,0.66,0.656,0.658,3080.25
1695337200,0.659,0.661,0.657,0.659,5969.6
1695340800,0.66,0.66,0.653,0.66,4734.76
1695344400,0.66,0.66,0.654,0.66,2469.59
1695348000,0.659,0.661,0.656,0.659,36950.66
1695351600,0.659,0.662,0.659,0.662,10176.95
1695355200,0.662,0.662,0.66,0.661,5566.36
1695358800,0.661,0.661,0.658,0.66,4814.11
1695362400,0.66,0.661,0.659,0.659,435.12
1695366000,0.66,0.66,0.657,0.66,7066.6
1695369600,0.66,0.662,0.66,0.661,2719.36
1695373200,0.661,0.662,0.66,0.662,2174.72
1695376800,0.661,0.662,0.659,0.659,7857.04
1695380400,0.66,0.661,0.658,0.659,3857.76
1695384000,0.66,0.66,0.658,0.659,12606.19
1695387600,0.658,0.659,0.655,0.656,8966
1695391200,0.656,0.66,0.655,0.659,4940.03
1695394800,0.66,0.662,0.657,0.659,24507.46
1695398400,0.659,0.661,0.657,0.658,3828.32
1695402000,0.659,0.663,0.658,0.662,6678.33
1695405600,0.661,0.663,0.661,0.661,3892.4
1695409200,0.661,0.663,0.66,0.662,10551.44
1695412800,0.663,0.663,0.66,0.661,3324.13
1695416400,0.661,0.666,0.66,0.666,7937.3
1695420000,0.666,0.667,0.665,0.665,8282.08
1695423600,0.666,0.668,0.665,0.668,1833.51
1695427200,0.668,0.671,0.668,0.67,7743.22
1695430800,0.67,0.67,0.666,0.67,11252.17
1695434400,0.67,0.67,0.664,0.666,3330.17
1695438000,0.667,0.667,0.664,0.667,4198.94
1695441600,0.665,0.668,0.664,0.668,3620.94
1695445200,0.667,0.67,0.667,0.667,1055.26
1695448800,0.669,0.67,0.669,0.669,1087.39
1695452400,0.671,0.671,0.668,0.669,991.16
1695456000,0.669,0.67,0.667,0.668,678.39
1695459600,0.671,0.671,0.668,0.669,4249.01
1695463200,0.671,0.671,0.668,0.67,1011.47
1695466800,0.67,0.67,0.668,0.67,818.47
1695470400,0.67,0.67,0.667,0.668,2652.89
1695474000,0.668,0.669,0.666,0.667,1504.55
1695477600,0.666,0.669,0.665,0.667,4006.2
1695481200,0.665,0.666,0.659,0.661,6714.49
1695484800,0.659,0.66,0.656,0.659,14221.36
1695488400,0.658,0.659,0.656,0.659,6573.89
1695492000,0.659,0.661,0.657,0.66,5045.9
1695495600,0.66,0.663,0.659,0.663,2401.99
1695499200,0.663,0.664,0.661,0.663,2828.11
1695502800,0.662,0.664,0.661,0.664,6921.17
1695506400,0.663,0.665,0.662,0.664,6316.01
1695510000,0.664,0.666,0.662,0.666,1721.45
1695513600,0.666,0.666,0.661,0.661,2658.63
1695517200,0.663,0.663,0.66,0.663,2267.43
1695520800,0.663,0.667,0.661,0.667,18065.81
1695524400,0.667,0.667,0.663,0.664,2413.05
1695528000,0.665,0.665,0.661,0.663,2121.32
1695531600,0.663,0.664,0.661,0.663,2672.84
1695535200,0.661,0.662,0.661,0.662,2770.27
1695538800,0.662,0.663,0.66,0.663,762.18
1695542400,0.661,0.664,0.661,0.664,1150.65
1695546000,0.664,0.665,0.663,0.664,372.21
1695549600,0.662,0.663,0.662,0.663,709.29
1695553200,0.663,0.664,0.662,0.663,7312.36
1695556800,0.664,0.666,0.662,0.664,2249.14
1695560400,0.664,0.666,0.662,0.663,4533.69
1695564000,0.663,0.664,0.66,0.662,5006.23
1695567600,0.661,0.662,0.659,0.659,1483.16
1695571200,0.66,0.661,0.658,0.66,2032.67
1695574800,0.661,0.663,0.659,0.663,2047.15
1695578400,0.662,0.664,0.657,0.658,12715.37
1695582000,0.658,0.658,0.654,0.657,3719.79
1695585600,0.656,0.658,0.653,0.658,7954.22
1695589200,0.657,0.658,0.655,0.655,2742.96
1695592800,0.656,0.657,0.655,0.657,9781.33
1695596400,0.656,0.657,0.649,0.651,10609.7
1695600000,0.649,0.651,0.643,0.651,14850.93
1695603600,0.653,0.656,0.651,0.651,15653.81
1695607200,0.653,0.655,0.653,0.655,1116.58
1695610800,0.653,0.655,0.652,0.652,1514.25
1695614400,0.651,0.653,0.651,0.653,4412.12
1695618000,0.653,0.653,0.648,0.65,29618.79
1695621600,0.65,0.654,0.648,0.654,22584.77
1695625200,0.653,0.657,0.652,0.656,9922.01
1695628800,0.655,0.657,0.652,0.655,2081.76
1695632400,0.653,0.657,0.652,0.657,9839.71
1695636000,0.658,0.664,0.646,0.652,90215.42
1695639600,0.652,0.653,0.649,0.652,1120.84
1695643200,0.651,0.653,0.648,0.652,11900.27
1695646800,0.652,0.653,0.65,0.652,3983.54
1695650400,0.651,0.653,0.65,0.652,3221.7
1695654000,0.651,0.656,0.651,0.655,9952.86
1695657600,0.655,0.659,0.655,0.658,14134.12
1695661200,0.658,0.659,0.656,0.659,9033.25
1695664800,0.657,0.659,0.655,0.655,3063.05
1695668400,0.655,0.656,0.654,0.655,3840.96
1695672000,0.655,0.658,0.653,0.653,5599.76
1695675600,0.653,0.656,0.653,0.654,14653.56
1695679200,0.655,0.658,0.655,0.658,10897.01
1695682800,0.658,0.659,0.656,0.659,5281.46
1695686400,0.659,0.659,0.654,0.654,13932.16
1695690000,0.655,0.662,0.654,0.658,20483.29
1695693600,0.658,0.66,0.657,0.66,4896.16
1695697200,0.658,0.661,0.658,0.659,8747.32
1695700800,0.659,0.66,0.657,0.659,4884.25
1695704400,0.657,0.658,0.656,0.656,20847.46
1695708000,0.657,0.657,0.654,0.655,1752.78
1695711600,0.655,0.655,0.651,0.653,11140.83
1695715200,0.653,0.654,0.651,0.651,37128.33
1695718800,0.65,0.653,0.649,0.652,4948.18
1695722400,0.653,0.653,0.651,0.653,1782.24
1695726000,0.653,0.654,0.652,0.652,5300.92
1695729600,0.654,0.655,0.652,0.654,5281.43
1695733200,0.654,0.655,0.652,0.653,8119.15
1695736800,0.652,0.654,0.652,0.654,11856.34
1695740400,0.654,0.654,0.649,0.651,4062.22
1695744000,0.651,0.655,0.651,0.655,5744.01
1695747600,0.653,0.655,0.651,0.654,2756.58
1695751200,0.653,0.654,0.651,0.654,1275.42
1695754800,0.654,0.656,0.653,0.655,42772.58
1695758400,0.657,0.657,0.653,0.653,5095.15
1695762000,0.654,0.654,0.648,0.653,3596.46
1695765600,0.653,0.656,0.652,0.653,8717.31
1695769200,0.652,0.656,0.652,0.656,4147.94
1695772800,0.656,0.659,0.656,0.657,1548.13
1695776400,0.659,0.659,0.656,0.657,4061.94
1695780000,0.657,0.658,0.654,0.654,5072.1
1695783600,0.654,0.66,0.654,0.66,1486.22
1695787200,0.659,0.659,0.656,0.657,1508.83
1695790800,0.657,0.657,0.654,0.654,5068.19
1695794400,0.655,0.657,0.654,0.657,3483.67
1695798000,0.657,0.658,0.656,0.657,3320.33
1695801600,0.656,0.657,0.656,0.657,22823.3
1695805200,0.656,0.662,0.656,0.662,2005.48
1695808800,0.661,0.663,0.659,0.663,6105.25
1695812400,0.663,0.666,0.662,0.663,9023.1
1695816000,0.664,0.666,0.663,0.664,25301.2
1695819600,0.663,0.664,0.659,0.66,5394.13
1695823200,0.66,0.661,0.652,0.653,21572.65
1695826800,0.652,0.655,0.652,0.653,19501.7
1695830400,0.652,0.654,0.651,0.652,7622.39
1695834000,0.652,0.654,0.65,0.653,15424.67
1695837600,0.652,0.653,0.648,0.653,11290.21
1695841200,0.651,0.655,0.65,0.651,12620.03
1695844800,0.651,0.652,0.646,0.649,14156.24
1695848400,0.649,0.65,0.647,0.65,27486.05
1695852000,0.65,0.653,0.649,0.652,5615.11
1695855600,0.653,0.653,0.651,0.651,6211.76
1695859200,0.653,0.657,0.653,0.654,14778.6
1695862800,0.656,0.657,0.654,0.656,2366.17
1695866400,0.656,0.657,0.651,0.652,10854.23
1695870000,0.653,0.654,0.651,0.652,1182.05
1695873600,0.652,0.653,0.651,0.653,1774.84
1695877200,0.652,0.652,0.65,0.652,10089.01
1695880800,0.651,0.655,0.65,0.655,3006.38
1695884400,0.654,0.656,0.652,0.654,3357.57
1695888000,0.655,0.655,0.651,0.655,2966.82
1695891600,0.654,0.656,0.653,0.656,5973.25
1695895200,0.655,0.658,0.655,0.657,3791.52
1695898800,0.657,0.657,0.653,0.655,10226.75
1695902400,0.656,0.657,0.654,0.656,2530.8
1695906000,0.655,0.661,0.655,0.658,27986.13
1695909600,0.66,0.664,0.657,0.662,14111.37
1695913200,0.662,0.664,0.659,0.663,23597.86
1695916800,0.664,0.667,0.662,0.665,20121.05
1695920400,0.665,0.669,0.665,0.666,10434.43
1695924000,0.666,0.668,0.661,0.663,11160.59
1695927600,0.663,0.668,0.662,0.668,6437.84
1695931200,0.667,0.668,0.664,0.665,13646.58
1695934800,0.666,0.668,0.663,0.668,6946.51
1695938400,0.666,0.667,0.664,0.667,2891.93
1695942000,0.667,0.668,0.666,0.667,28363.34
1695945600,0.669,0.669,0.665,0.669,8353.18
1695949200,0.667,0.67,0.666,0.67,24307.99
1695952800,0.671,0.672,0.666,0.666,20477.38
1695956400,0.668,0.67,0.667,0.669,1089.47
1695960000,0.669,0.671,0.668,0.671,4903.4
1695963600,0.672,0.672,0.67,0.671,2950.69
1695967200,0.67,0.672,0.668,0.671,1224
1695970800,0.67,0.677,0.67,0.676,19755.26
1695974400,0.676,0.679,0.673,0.677,10874.04
1695978000,0.675,0.675,0.671,0.673,5684.05
1695981600,0.672,0.674,0.672,0.673,2421.28
1695985200,0.673,0.675,0.672,0.673,6898.78
1695988800,0.674,0.675,0.67,0.675,16204.03
1695992400,0.673,0.675,0.672,0.672,3615.97
1695996000,0.673,0.678,0.669,0.678,9660.6
1695999600,0.676,0.68,0.676,0.68,5249.74
1696003200,0.68,0.68,0.676,0.677,8001.71
1696006800,0.677,0.678,0.673,0.673,40364.46
1696010400,0.673,0.679,0.673,0.678,41368.58
1696014000,0.678,0.681,0.674,0.675,80582.37
1696017600,0.676,0.679,0.675,0.677,22803.35
1696021200,0.678,0.679,0.675,0.678,29222.96
1696024800,0.678,0.68,0.676,0.677,3866.83
1696028400,0.676,0.68,0.676,0.679,41257.99
1696032000,0.681,0.685,0.68,0.681,5681.6
1696035600,0.681,0.681,0.68,0.68,2351.95
1696039200,0.68,0.681,0.677,0.68,240.62
1696042800,0.68,0.682,0.678,0.679,2491.42
1696046400,0.678,0.681,0.678,0.679,252.06
1696050000,0.679,0.681,0.679,0.68,582.84
1696053600,0.681,0.682,0.68,0.68,1111.06
1696057200,0.682,0.682,0.679,0.681,425.53
1696060800,0.68,0.681,0.679,0.681,5954.67
1696064400,0.681,0.684,0.681,0.683,1687.87
1696068000,0.682,0.684,0.681,0.681,1938.83
1696071600,0.681,0.684,0.681,0.682,4135.1
1696075200,0.681,0.683,0.681,0.683,421.81
1696078800,0.682,0.682,0.68,0.682,11868.45
1696082400,0.684,0.684,0.68,0.684,9301.57
1696086000,0.682,0.685,0.681,0.684,2342.41
1696089600,0.684,0.686,0.683,0.686,29847.93
