ts,open,high,low,close,volume
1660176000,78.69,82.73,77.68,79.26,33773.20387946
1660262400,79.35,81.08,76.59,77.33,23332.64428646
1660348800,77.34,79.31,75.27,76.18,27321.87701841
1660435200,76.22,77.72,72.72,73.76,17526.96270987
1660521600,73.74,75.6,71.85,73.72,10787.1569178
1660608000,73.75,76.79,72.33,76.02,15299.76793053
1660694400,76.06,77.89,71.62,74.31,25973.35979084
1660780800,74.32,76.76,69.87,70.14,29661.44417309
1660867200,70.15,70.54,61.47,62.23,44736.82328003
1660953600,62.18,64.64,61.36,62.92,17837.22154733
1661040000,63,65.99,63,64.62,16774.96804126
1661126400,64.62,65.21,60.68,65.09,20881.6667452
1661212800,65.05,66.85,62.78,66.42,16107.04180307
1661299200,66.21,69.7,64.71,67.73,33720.0698937
1661385600,67.64,69.92,66.84,67.78,13546.5906069
1661472000,67.7,68.11,60.28,60.79,31701.7411549
1661558400,60.93,62.16,59.85,61.36,8055.30997363
1661644800,61.38,62.92,60.75,61.17,20017.49536399
1661731200,61.15,64.1,60.1,63.78,10576.56950928
1661817600,63.83,64.52,59.68,59.94,20952.99884283
1661904000,59.96,62.05,59.5,59.79,28318.47691021
1661990400,59.76,60.28,56.79,58.98,34282.65314411
1662076800,58.96,61.84,58.04,60.36,18146.33598396
1662163200,60.47,62.82,59.95,62.71,14129.46436691
1662249600,62.74,64.3,62.09,63.96,15849.82432155
1662336000,64,64.43,62.12,63.53,14290.2335415
1662422400,63.53,66.2,57.71,58.03,37380.68498463
1662508800,58.05,59.97,56.97,59.34,16427.74682322
1662595200,59.34,61.58,58.15,61.14,11594.40812278
1662681600,61.11,66.89,60.93,65.97,18896.80505367
1662768000,66.07,66.18,64.28,65.33,15873.66961555
1662854400,65.33,66.01,63.19,64.27,30361.07198448
1662940800,64.26,66.42,61.8,62.88,17091.3861129
1663027200,62.87,64.05,58.56,58.87,29393.03485399
1663113600,58.81,62.26,58.65,61.89,7152.18931042
1663200000,61.95,62.14,58.01,58.25,17477.75102138
1663286400,58.26,58.84,55.75,56.82,19249.74528097
1663372800,56.82,58.81,56.75,58.8,7367.60692126
1663459200,58.73,58.73,52,53.39,13440.28862971
1663545600,53.32,55.6,51.86,55.3,16461.33414434
1663632000,55.39,55.87,53.25,53.44,10406.70402619
1663718400,53.36,57.58,52.15,53.48,34523.85467842
1663804800,53.6,57.1,53.31,56.76,22069.68867049
1663891200,56.81,58.65,54.31,56.03,24587.48820238
1663977600,56.1,58.3,55.33,55.56,18231.34528306
1664064000,55.56,57.13,55.11,56.19,15101.36787624
1664150400,56.18,59.54,55.04,58.95,28409.3305439
1664236800,59.02,61.51,56.17,57.07,31009.96309026
1664323200,57,57.41,53.43,55.5,27790.78197366
1664409600,55.5,56.84,54.54,56.71,11278.05435641
1664496000,56.68,57.13,55.61,55.66,18238.66661363
1664582400,55.68,57.3,55.2,55.25,14691.38357302
1664668800,55.25,55.65,53.48,53.59,5642.21784738
1664755200,53.5,57.01,52.96,55.81,22536.93209911
1664841600,55.92,57.22,55.73,56.74,14811.84017187
1664928000,56.78,58.11,56.16,56.64,21960.82166934
1665014400,56.68,57.4,55.07,55.12,25065.93766604
1665100800,55.15,55.65,54.09,54.67,9033.23056685
1665187200,54.67,55.42,53.97,54.42,5136.81049878
1665273600,54.37,55.17,53.87,54.8,7565.38509472
1665360000,54.83,55.37,52.3,52.55,13541.36786925
1665446400,52.51,52.91,51.19,51.59,18623.35976624
1665532800,51.6,52.43,51.04,51.72,10476.03911843
1665619200,51.75,51.99,47.5,50.93,41517.53191571
1665705600,50.9,52.4,49.44,49.98,16547.83145403
1665792000,50.02,51.66,49.56,50.92,9432.08701621
1665878400,50.91,52.9,50.8,51.86,17021.94102437
1665964800,51.86,53.49,51.28,52.85,29676.61740438
1666051200,52.86,53.26,51.08,52.54,22122.05894233
1666137600,52.61,52.83,50.32,50.66,17452.13992928
1666224000,50.59,52.8,50.11,51.9,15631.02723516
1666310400,51.86,52.65,49.85,52.23,14017.19208315
1666396800,52.3,53.05,51.47,52.4,20056.5667771
1666483200,52.4,53.15,51.53,53.1,27405.07160376
1666569600,53.12,53.3,51.16,52,20072.15823435
1666656000,52.04,54.11,51.74,53.24,19695.56632462
1666742400,53.28,55.83,53.13,55.11,19310.91955736
1666828800,55.08,56.53,52.6,52.76,15421.06997054
1666915200,52.75,54.27,52.07,53.7,9223.58104132
1667001600,53.72,55.46,53.6,54.26,13035.07493338
1667088000,54.33,55.74,52.94,53.66,17771.41632805
1667174400,53.65,53.96,51.91,52.54,16452.80194695
1667260800,52.54,53.19,49.97,50.18,10889.46575644
1667347200,50.2,52.57,49.42,50.25,22418.59915589
1667433600,50.27,52.1,49.85,50.34,10757.02809233
1667520000,50.36,55.17,50.08,53.75,28957.74649847
1667606400,53.8,56.91,52.76,53.62,20659.1210794
1667692800,53.59,53.91,50.16,50.26,12516.94160056
1667779200,50.29,54,49.82,51.18,31401.01948111
1667865600,51.16,51.8,36.93,42.18,53745.10838381
1667952000,42.23,42.74,33.2,34.98,72215.68832144
1668038400,34.83,40.22,34.13,39.14,57653.05348692
