ts,open,high,low,close,volume
1607385600,71.61,73.56,68.65,69.58,17801.28758
1607472000,69.58,70.97,66,69.47,20679.36376756
1607558400,69.48,69.82,65.23,65.94,13779.72844059
1607644800,66.08,67.8,62.5,63.57,15064.00121775
1607731200,63.57,66.82,63.54,66,12002.54577443
1607817600,66.01,69.79,65.3,68.2,10382.77320618
1607904000,68.08,70.43,66.29,68.14,17657.59856396
1607990400,68.14,69.14,66.46,67.79,9898.51014921
1608076800,67.75,73.35,66.96,73.17,16385.55973864
1608163200,73.35,78.24,72.5,74.36,34487.81098885
1608249600,74.5,76.38,71.71,74.04,20390.2636792
1608336000,73.92,76.21,73.15,73.66,19466.04868676
1608422400,73.65,77.82,71.92,73.62,16342.78864484
1608508800,73.47,77.65,67.59,67.93,22454.45673821
1608595200,67.79,69.09,63.55,67.75,27531.57359651
1608681600,67.86,68.56,47.17,55.57,56260.2773284
1608768000,55.39,63,54.04,62.15,41808.34874663
1608854400,62,65.17,60.44,64.37,21716.83910389
1608940800,64.01,70,63.58,66.57,34043.47829321
1609027200,66.49,71.39,62.62,66.88,38414.21547555
1609113600,66.94,71.28,66.19,69.03,27485.39685604
1609200000,68.91,70.41,61.45,65.24,33074.63169777
1609286400,65.31,66.18,62.49,64.12,28251.09435323
1609372800,64.22,64.58,61.24,64.11,21050.91721634
1609459200,64.01,67.35,55.15,56.9,134791.03834181
1609545600,57.13,60.54,55.39,57.55,90168.07286059
1609632000,57.6,61.9,56.27,59.41,69691.44277372
1609718400,59.52,65.88,56.57,60.47,75734.47328839
1609804800,60.42,61.22,58,59.81,46514.98262819
1609891200,59.83,65.59,59.01,64.02,89742.10494952
1609977600,64.08,74.52,63.11,67.91,156275.53357872
1610064000,67.81,70,61.21,68.75,76156.95264506
1610150400,68.66,80.23,65.88,78.81,88325.16386366
1610236800,78.8,100,76,96.42,303463.67997211
1610323200,96.48,111.01,76.4,88.16,299965.60266689
1610409600,87.93,105.5,83.78,99.52,172860.90181179
1610496000,99.61,121,92,117.36,184994.26448085
1610582400,117.51,119.28,105.17,111.82,107025.17955659
1610668800,111.71,115,95,103.41,72157.69088222
1610755200,103.3,114.72,101.92,108.25,84807.85748195
1610841600,108.18,108.8,98.1,102.33,65285.2640256
1610928000,102.37,106.6,100.07,104.09,45148.02704601
1611014400,104.11,112.72,102.26,102.55,65337.52555756
1611100800,102.54,104,90.62,99.25,77875.55627135
1611187200,99.33,99.66,82.58,82.88,69603.72958141
1611273600,82.92,91.61,76.25,87.03,123338.36977139
1611360000,86.81,90.58,83.85,86.08,48326.399586
1611446400,85.94,92.55,85,90.07,69942.17603071
1611532800,90.07,96.59,87.81,87.81,77217.52871406
1611619200,87.8,90.32,83.86,89.27,36088.23293948
1611705600,89.19,89.34,76.99,78.64,50847.31554778
1611792000,78.63,88.75,77.26,86.97,43637.14530195
1611878400,87.09,90.54,82.45,85.63,53529.38931894
1611964800,85.53,86.4,82.83,84.48,41254.12629063
1612051200,84.52,87.77,82.48,85.57,41908.91558386
1612137600,85.65,89.67,84.02,88.73,46959.39526248
1612224000,88.63,94.43,88.24,92.6,58528.04735741
1612310400,92.61,97.04,92.61,95.4,48000.11772367
1612396800,95.43,96.85,88.88,90.11,65198.79246993
1612483200,90.12,96.85,89.26,96.73,73088.9866747
1612569600,96.72,99,92,94.46,66726.99208368
1612656000,94.37,95.77,89,92.39,31751.12907748
1612742400,92.44,98.68,91.26,98.06,43833.07304683
1612828800,98.19,110.45,97.22,108.96,107850.6961128
1612915200,109.04,121.72,106.32,116.53,126158.82545142
1613001600,116.43,150,113.25,142.12,169425.31584366
1613088000,142.3,149.06,133.14,143.02,89365.262258
1613174400,143.04,214,143.03,176.49,323317.49501803
1613260800,176.53,180.59,152.66,156.4,124572.58643477
1613347200,156.62,179.59,125,159.1,209978.93579926
1613433600,158.85,168.01,148.65,156.06,77931.97578907
1613520000,155.75,173.68,147.13,168.73,66883.17416296
1613606400,168.69,179.47,157.27,169.93,82339.46920691
1613692800,169.9,189.98,161.89,180.24,113411.07697389
1613779200,180.6,185.43,155.81,164.35,122898.52271429
1613865600,164.29,168,158.58,162.03,58951.34518071
1613952000,162.03,162.99,120,144.49,116293.25729218
1614038400,144.34,145.21,103.78,127.27,174020.09809126
1614124800,127.33,136.13,122.23,131.16,70890.70839273
1614211200,131.03,139.6,120.11,120.99,76858.98929497
1614297600,121.03,125.12,113.58,118.42,61456.97019529
1614384000,118.43,125.09,117.69,119.87,34479.78149328
1614470400,119.78,120.35,104.57,111.61,58025.07550658
1614556800,111.62,126,110.29,124.44,53788.37185076
1614643200,124.45,126.86,116.44,120.54,41273.44237121
1614729600,120.54,130.97,119.2,126.72,43882.79728711
1614816000,126.71,129.98,117.27,122,36534.15157991
