ts,open,high,low,close,volume
1695218400,26.02,26.1,25.94,25.98,389.64254
1695222000,26,26.03,25.92,25.98,47.54432
1695225600,26.04,26.11,25.97,25.97,209.18684
1695229200,25.98,26.08,25.94,25.97,224.79822
1695232800,25.99,26.27,25.93,26.22,364.96201
1695236400,26.22,26.22,25.75,26.01,832.45424
1695240000,26,26.09,25.98,26.09,45.77538
1695243600,26.1,26.22,26.09,26.17,64.91353
1695247200,26.17,26.19,26.09,26.17,37.97028
1695250800,26.16,26.2,26.07,26.13,27.00555
1695254400,26.15,26.3,26.13,26.2,88.42297
1695258000,26.21,26.24,26.08,26.15,127.14435
1695261600,26.28,26.29,26.13,26.2,60.32953
1695265200,26.26,26.27,26.16,26.19,250.91543
1695268800,26.22,26.35,26.16,26.25,74.65219
1695272400,26.27,26.27,26.11,26.22,111.71401
1695276000,26.22,26.22,25.99,26.11,620.70087
1695279600,26.11,26.21,26.1,26.16,415.62042
1695283200,26.16,26.2,26.04,26.04,544.96532
1695286800,26.04,26.08,25.83,25.84,1503.5835
1695290400,25.84,25.88,25.65,25.68,781.89952
1695294000,25.7,25.87,25.69,25.86,75.03332
1695297600,25.86,25.92,25.81,25.9,204.91945
1695301200,25.9,25.9,25.64,25.76,197.19015
1695304800,25.77,26.03,25.74,26.02,134.83966
1695308400,26.03,26.18,25.98,26.15,216.54755
1695312000,26.15,26.15,25.99,26.06,45.54087
1695315600,26.06,26.09,25.95,25.95,1236.36332
1695319200,25.95,26.13,25.93,26.13,1153.03106
1695322800,26.13,26.16,26.05,26.11,342.97846
1695326400,26.13,26.13,25.95,25.99,2213.65304
1695330000,25.99,25.99,25.88,25.93,1274.42552
1695333600,25.94,26.11,25.92,26.11,677.76812
1695337200,26.11,26.19,26.09,26.09,809.22974
1695340800,26.15,26.15,25.88,26.13,649.9164
1695344400,26.14,26.26,26.06,26.21,393.82742
1695348000,26.24,26.26,26.13,26.13,54.36793
1695351600,26.14,26.37,26.11,26.37,86.21157
1695355200,26.4,26.4,26.31,26.32,44.52386
1695358800,26.33,26.33,26,26.27,96.76855
1695362400,26.26,26.26,26.14,26.14,83.07226
1695366000,26.14,26.19,26.09,26.19,39.3714
1695369600,26.2,26.28,26.16,26.28,160.19026
1695373200,26.31,26.42,26.31,26.35,223.77701
1695376800,26.34,26.39,26.25,26.25,182.44174
1695380400,26.25,26.34,26.25,26.27,31.06087
1695384000,26.27,26.28,26.18,26.22,348.32435
1695387600,26.2,26.27,26.2,26.23,50.61146
1695391200,26.2,26.37,26.17,26.37,441.63717
1695394800,26.37,26.48,26.34,26.36,1162.66265
1695398400,26.37,26.45,26.27,26.29,621.50297
1695402000,26.29,26.39,26.23,26.39,161.9194
1695405600,26.39,26.49,26.38,26.47,255.12003
1695409200,26.49,26.62,26.44,26.51,1270.38645
1695412800,26.49,26.61,26.49,26.58,399.80234
1695416400,26.6,26.71,26.53,26.69,607.18575
1695420000,26.72,26.75,26.61,26.66,413.6616
1695423600,26.66,26.72,26.62,26.67,173.13295
1695427200,26.71,26.84,26.7,26.78,220.90999
1695430800,26.77,26.81,26.65,26.77,108.20779
1695434400,26.8,26.83,26.64,26.72,345.39174
1695438000,26.72,26.73,26.61,26.68,33.0907
1695441600,26.65,26.78,26.57,26.78,161.2553
1695445200,26.82,26.89,26.78,26.78,83.54857
1695448800,26.83,26.86,26.78,26.86,35.99706
1695452400,26.81,26.84,26.72,26.78,52.34598
1695456000,26.78,26.78,26.69,26.74,97.13313
1695459600,26.69,26.74,26.66,26.69,21.9545
1695463200,26.77,26.77,26.64,26.7,27.71739
1695466800,26.74,26.75,26.69,26.69,23.27574
1695470400,26.72,26.72,26.59,26.59,29.14831
1695474000,26.55,26.58,26.45,26.47,106.59418
