ts,open,high,low,close,volume
1746576000,2.444,2.482,2.37,2.454,132574.06
1746662400,2.454,2.741,2.454,2.721,298319.39
1746748800,2.719,2.996,2.695,2.981,319312.53
1746835200,2.981,3.221,2.903,3.111,492915.52
1746921600,3.11,3.167,2.885,3.004,284664.56
1747008000,3.004,3.125,2.786,3.029,406655.75
1747094400,3.029,3.325,2.814,3.23,455152.77
1747180800,3.232,3.332,3.103,3.127,440314.27
1747267200,3.128,3.293,2.779,2.849,536685.51
1747353600,2.85,2.97,2.704,2.722,228124.23
1747440000,2.723,2.737,2.513,2.574,347314.86
1747526400,2.575,2.809,2.553,2.732,193817
1747612800,2.734,2.752,2.499,2.726,152099.84
1747699200,2.728,2.853,2.583,2.697,414745.6
1747785600,2.699,2.81,2.631,2.723,225455.07
1747872000,2.724,2.995,2.723,2.948,246453.01
1747958400,2.95,3.025,2.632,2.648,286339.34
1748044800,2.646,2.754,2.632,2.669,104109.74
1748131200,2.671,2.718,2.542,2.714,77450.26
1748217600,2.715,2.795,2.664,2.702,183087.27
1748304000,2.703,2.808,2.62,2.718,253623.15
1748390400,2.72,2.771,2.609,2.703,156862.58
1748476800,2.707,2.792,2.582,2.594,111332.1
1748563200,2.596,2.614,2.211,2.236,259007.96
1748649600,2.239,2.301,2.143,2.268,227603.89
1748736000,2.269,2.336,2.208,2.329,95254.57
1748822400,2.33,2.366,2.225,2.361,156186.13
1748908800,2.361,2.426,2.305,2.316,56039.09
1748995200,2.318,2.361,2.186,2.228,99817.38
1749081600,2.23,2.27,2.055,2.093,195824
1749168000,2.095,2.229,2.077,2.092,69476.81
1749254400,2.101,2.192,2.086,2.141,49541
1749340800,2.145,2.254,2.079,2.112,135333.99
1749427200,2.112,2.196,2.018,2.19,717653.53
1749513600,2.19,2.336,2.159,2.327,569942.37
1749600000,2.33,2.405,2.21,2.238,316654.94
1749686400,2.235,2.24,2.047,2.048,147665.49
1749772800,2.048,2.049,1.844,2.003,357039.59
1749859200,2.001,2.08,1.897,1.945,156576.34
1749945600,1.945,1.968,1.903,1.951,95090.4
1750032000,1.95,2.037,1.903,1.912,198962.3
1750118400,1.914,1.952,1.787,1.816,178481.08
1750204800,1.822,1.935,1.772,1.898,480037.86
1750291200,1.905,1.922,1.767,1.819,135775.83
1750377600,1.826,1.844,1.665,1.726,245234.86
1750464000,1.73,1.748,1.586,1.632,124975.64
1750550400,1.637,1.655,1.494,1.614,628846.42
1750636800,1.619,1.8,1.557,1.795,273947.62
1750723200,1.795,1.892,1.795,1.861,211131.02
1750809600,1.863,1.865,1.774,1.787,159945.88
1750896000,1.788,1.83,1.673,1.678,196252.84
1750982400,1.678,1.804,1.646,1.752,261716.46
1751068800,1.753,1.85,1.727,1.825,102370.72
1751155200,1.826,2.06,1.788,1.998,308310.21
1751241600,1.999,2.005,1.901,1.909,234393.32
1751328000,1.911,1.922,1.827,1.847,222105.12
1751414400,1.845,1.975,1.799,1.93,245242.55
1751500800,1.937,1.976,1.882,1.917,133332.34
1751587200,1.919,1.944,1.75,1.783,99961.92
1751673600,1.781,1.811,1.741,1.782,54866.23
1751760000,1.783,1.855,1.763,1.827,100439.52
1751846400,1.829,1.832,1.77,1.79,86466.82
1751932800,1.787,1.83,1.741,1.826,110271.07
1752019200,1.831,1.929,1.793,1.905,483233.88
1752105600,1.905,2.071,1.879,2.071,570398.74
1752192000,2.07,2.266,2.025,2.146,348264.58
