[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $50.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $52.78 (+5.56%)  holding 5/9, 5 resting orders, 5 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $51.30 (+2.61%)  holding 0/9, 0 resting orders, 10 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $51.30 (+2.61%)  holding 0/9, 0 resting orders, 10 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $51.30 (+2.61%)  holding 0/9, 0 resting orders, 10 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $51.30 (+2.61%)  holding 0/9, 0 resting orders, 10 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $51.30 (+2.61%)  holding 0/9, 0 resting orders, 10 fills since anchor
[bot_dca_SO5_d5_F1] PAPER equity $51.30 (+2.61%)  holding 0/9, 0 resting orders, 10 fills since anchor
