[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.47 (+2.93%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.30 (+2.60%)  holding 1/12, 0 resting orders, 8 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.30 (+2.60%)  holding 1/12, 0 resting orders, 8 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.30 (+2.60%)  holding 1/12, 0 resting orders, 8 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.30 (+2.60%)  holding 1/12, 0 resting orders, 8 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.30 (+2.60%)  holding 1/12, 0 resting orders, 8 fills since anchor
[bot_dca_d3_mid12] PAPER equity $51.30 (+2.60%)  holding 1/12, 0 resting orders, 8 fills since anchor
