[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_large12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
