[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $50.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_dcaad_mid12] PAPER equity $53.74 (+7.49%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dcaad_mid12] PAPER equity $53.74 (+7.49%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dcaad_mid12] PAPER equity $53.74 (+7.49%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dcaad_mid12] PAPER equity $53.74 (+7.49%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dcaad_mid12] PAPER equity $53.74 (+7.49%)  holding 4/12, 4 resting orders, 4 fills since anchor
[bot_dcaad_mid12] PAPER equity $53.74 (+7.49%)  holding 4/12, 4 resting orders, 4 fills since anchor
