[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 0 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 36 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 36 resting orders, 0 fills since anchor
[bot_grid_L4_s6_F1] PAPER equity $100.00 (+0.00%)  holding 0/9, 36 resting orders, 0 fills since anchor
