[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 0 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 96 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 96 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 96 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 96 resting orders, 0 fills since anchor
[bot_grid_L8_s6_large12] PAPER equity $100.00 (+0.00%)  holding 0/12, 96 resting orders, 0 fills since anchor
