[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.00 (+0.00%)  holding 0/27, 4 resting orders, 0 fills since anchor
[bot_quick27_active] PAPER equity $50.12 (+0.24%)  holding 4/27, 4 resting orders, 4 fills since anchor
[bot_quick27_active] PAPER equity $50.12 (+0.24%)  holding 4/27, 4 resting orders, 4 fills since anchor
[bot_quick27_active] PAPER equity $50.12 (+0.24%)  holding 4/27, 4 resting orders, 4 fills since anchor
[bot_quick27_active] PAPER equity $50.12 (+0.24%)  holding 4/27, 4 resting orders, 4 fills since anchor
[bot_quick27_active] PAPER equity $50.12 (+0.24%)  holding 4/27, 4 resting orders, 4 fills since anchor
[bot_quick27_active] PAPER equity $50.12 (+0.24%)  holding 4/27, 4 resting orders, 4 fills since anchor
