[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $100.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $50.00 (+0.00%)  holding 0/27, 0 resting orders, 0 fills since anchor
[bot_quick27_f1] PAPER equity $49.88 (-0.24%)  holding 5/27, 5 resting orders, 5 fills since anchor
[bot_quick27_f1] PAPER equity $49.88 (-0.24%)  holding 5/27, 5 resting orders, 5 fills since anchor
[bot_quick27_f1] PAPER equity $49.88 (-0.24%)  holding 5/27, 5 resting orders, 5 fills since anchor
[bot_quick27_f1] PAPER equity $49.88 (-0.24%)  holding 5/27, 5 resting orders, 5 fills since anchor
[bot_quick27_f1] PAPER equity $49.88 (-0.24%)  holding 5/27, 5 resting orders, 5 fills since anchor
[bot_quick27_f1] PAPER equity $49.88 (-0.24%)  holding 5/27, 5 resting orders, 5 fills since anchor
